"Kod";"Nazwa";"bardzo dobra,2017,[%]";"bardzo dobra,2018,[%]";"bardzo dobra,2019,[%]";"bardzo dobra,2020,[%]";"bardzo dobra,2021,[%]";"dobra,2017,[%]";"dobra,2018,[%]";"dobra,2019,[%]";"dobra,2020,[%]";"dobra,2021[%]";"raczej dobra,2017,[%]";"raczej dobra,2018,[%]";"raczej dobra,2019,[%]";"raczej dobra,2020[%]";"raczej dobra,2021,[%]";"przeciętna,2017,[%]";"przeciętna,2018,[%]";"przeciętna,2019,[%]";"przeciętna,2020,[%]";"przeciętna,2021,[%]";"raczej zła,2017,[%]";"raczej zła,2018,[%]";"raczej zła,2019,[%]";"raczej zła,2020,[%]";"raczej zła,2021,[%]";"zła,2017,[%]";"zła,2018,[%]";"zła,2019,[%]";"zła,2020,[%]";"zła,2021,[%]";
0200000;"DOLNOŚLĄSKIE";15,4;23,7;;;;;;27,1;29,8;34,5;20,0;21,1;24,1;24,4;23,5;52,8;46,7;41,5;40,4;36,7;8,5;6,2;5,6;4,1;4,0;3,2;2,4;1,7;1,2;1,3;
0400000;"KUJAWSKO-POMORSKIE";14,0;19,5;;;;;;22,1;17,5;15,0;18,8;22,3;23,3;24,3;28,6;56,4;50,7;47,1;51,1;50,3;8,1;5,1;5,3;5,7;4,7;2,8;2,5;2,1;1,5;1,4;
0600000;"LUBELSKIE";10,3;12,7;;;;;;17,3;19,2;19,8;25,7;25,9;27,1;26,8;28,6;51,3;50,8;46,6;46,2;46,1;10,1;8,3;7,2;6,7;4,3;2,6;2,4;1,9;1,1;1,2;
0800000;"LUBUSKIE";14,9;25,2;;;;;;25,8;28,1;29,6;24,4;22,5;26,9;29,4;26,7;48,5;44,6;40,3;38,0;39,4;9,5;6,1;5,7;3,7;3,5;2,6;1,7;1,3;0,8;0,9;
1000000;"ŁÓDZKIE";9,7;14,8;;;;;;14,9;17,4;20,2;17,0;18,0;21,0;22,4;26,9;58,8;57,3;55,3;52,2;46,5;11,3;7,8;7,0;6,4;5,3;3,2;2,0;1,7;1,7;1,1;
1200000;"MAŁOPOLSKIE";14,8;21,8;;;;;;24,1;25,8;27,1;25,3;24,8;28,4;30,4;31,2;50,2;47,7;42,8;40,7;38,5;7,8;4,6;3,7;2,7;2,7;1,9;1,1;1,0;0,4;0,6;
1400000;"MAZOWIECKIE";17,9;24,5;;;;;;28,9;31,4;32,6;20,6;22,8;23,4;24,8;25,1;51,2;45,3;41,6;38,9;37,2;7,2;5,6;4,7;3,7;4,1;3,1;1,8;1,5;1,3;1,0;
1600000;"OPOLSKIE";17,4;21,5;;;;;;27,3;30,2;34,9;26,8;27,4;27,9;33,1;33,7;47,4;45,7;39,7;32,7;29,1;5,6;4,1;3,6;3,0;2,0;2,8;1,3;1,5;1,0;0,4;
1800000;"PODKARPACKIE";12,7;15,2;;;;;;19,7;23,6;24,9;19,9;23,8;26,6;28,2;23,3;55,6;51,0;46,3;42,9;47,8;9,3;8,4;6,8;4,8;3,6;2,5;1,6;0,7;0,5;0,4;
2000000;"PODLASKIE";12,1;16,2;;;;;;17,8;24,6;19,8;21,1;24,5;27,0;25,7;27,2;55,2;51,7;47,4;43,4;48,3;7,7;5,9;6,0;5,8;3,5;4,0;1,7;1,8;0,6;1,2;
2200000;"POMORSKIE";19,2;24,9;;;;;;29,1;25,8;22,6;20,0;21,1;21,9;24,3;28,2;48,7;45,3;41,8;43,1;43,7;8,6;6,2;5,6;5,3;4,1;3,6;2,5;1,7;1,6;1,4;
2400000;"ŚLĄSKIE";19,9;24,5;;;;;;28,0;28,4;28,2;21,8;23,1;23,1;27,9;28,3;48,5;45,3;42,7;38,9;38,0;6,9;5,0;4,9;3,8;4,9;2,9;2,0;1,4;1,0;0,6;
2600000;"ŚWIĘTOKRZYSKIE";12,5;15,8;;;;;;16,2;18,5;23,4;21,6;24,1;22,6;23,8;24,5;54,6;51,1;52,8;52,7;47,9;9,1;6,8;7,3;4,2;3,3;2,2;2,2;1,1;0,7;0,8;
2800000;"WARMIŃSKO-MAZURSKIE";23,0;26,2;;;;;;29,8;31,2;33,1;20,5;19,5;21,8;24,2;22,7;44,3;45,1;41,1;37,7;38,9;9,5;7,7;5,6;6,0;4,6;2,7;1,6;1,7;0,9;0,8;
3000000;"WIELKOPOLSKIE";14,7;17,5;;;;;;17,1;20,4;18,8;22,8;25,3;30,5;28,6;28,1;52,9;49,3;45,5;45,2;48,0;7,0;6,3;5,6;5,2;4,6;2,6;1,6;1,4;0,7;0,6;
3200000;"ZACHODNIOPOMORSKIE";14,8;20,7;;;;;;23,7;20,4;20,1;22,3;26,4;23,0;27,2;29,1;48,8;43,9;44,3;42,1;43,5;12,2;7,4;7,6;8,8;6,3;1,9;1,7;1,5;1,5;0,9;
